Mês/Ano,Sexo,Faixa etária,Cor/raça,Escolaridade,Ocupação,Renda familiar (SM),Bairro,Zona,Saúde,Segurança Pública,Conservação Urbana e Patrimonial,Educação,Preservação ambiental,Assistência Social,Transportes,Saneamento básico,Fator de maior preocupação
02/2024,Masculino,30-39,Parda,Médio completo,Empregado s/ carteira,2–3 SM,Caju,Centro,Péssimo,Regular,Ruim,Ruim,Ruim,Ótimo,Bom,Bom,inflação
02/2024,Masculino,40-49,Branca,Superior completo,Empregado c/ carteira,Até 1 SM,Vila Isabel,Zona Norte,Ótimo,Ruim,Regular,Ruim,Regular,Regular,Regular,Bom,pobreza e desigualdade
02/2024,Masculino,60+,Parda,Médio completo,Autônomo,2–3 SM,Flamengo,Zona Sul,Regular,Bom,Ruim,Regular,Regular,Regular,Ruim,Péssimo,crime e violência
02/2024,Masculino,60+,Parda,Médio completo,Servidor público,2–3 SM,Santo Cristo,Centro,Regular,Regular,Regular,Regular,Ruim,Regular,Ruim,Regular,inflação
02/2024,Masculino,30-39,Branca,Médio completo,Estudante,3–5 SM,Santa Cruz,Zona Oeste,Regular,Ruim,Regular,Regular,Ruim,Regular,Regular,Regular,saúde
02/2024,Feminino,30-39,Parda,Superior completo,Empregado c/ carteira,2–3 SM,Oswaldo Cruz,Zona Norte,Regular,Ótimo,Péssimo,Ruim,Regular,Ruim,Regular,Ruim,saúde
02/2024,Masculino,60+,Parda,Fundamental incompleto,Aposentado,5–10 SM,Copacabana,Zona Sul,Regular,Péssimo,Bom,Ruim,Ruim,Ruim,Ruim,Regular,pobreza e desigualdade
02/2024,Masculino,16-24,Branca,Médio completo,Autônomo,2–3 SM,Ipanema,Zona Sul,Bom,Ruim,Bom,Ótimo,Regular,Regular,Regular,Regular,rede de transportes
02/2024,Masculino,30-39,Parda,Médio completo,Empregado c/ carteira,2–3 SM,Laranjeiras,Zona Sul,Regular,Regular,Bom,Regular,Regular,Bom,Regular,Regular,desemprego
02/2024,Feminino,30-39,Branca,Médio completo,Estudante,3–5 SM,Vaz Lobo,Zona Norte,Ótimo,Regular,Ruim,Regular,Ótimo,Regular,Regular,Péssimo,educação
02/2024,Feminino,25-29,Parda,Superior incompleto,Empregado s/ carteira,1–2 SM,Cascadura,Zona Norte,Ótimo,Péssimo,Regular,Bom,Bom,Péssimo,Regular,Bom,educação
02/2024,Feminino,60+,Preta,Médio completo,Empregado c/ carteira,2–3 SM,Vila Valqueire,Zona Oeste,Regular,Regular,Péssimo,Regular,Ruim,Ruim,Ótimo,Ruim,desemprego
02/2024,Feminino,50-59,Branca,Médio incompleto,Empregado c/ carteira,3–5 SM,Campo Grande,Zona Oeste,Regular,Bom,Regular,Ruim,Regular,Ótimo,Bom,Ruim,desemprego
02/2024,Masculino,30-39,Branca,Superior completo,Autônomo,2–3 SM,Gávea,Zona Sul,Bom,Ruim,Regular,Péssimo,Regular,Ruim,Regular,Regular,crime e violência
02/2024,Masculino,50-59,Branca,Superior incompleto,Empregado c/ carteira,5–10 SM,Guadalupe,Zona Norte,Regular,Bom,Regular,Ruim,Regular,Bom,Bom,Regular,pobreza e desigualdade
02/2024,Masculino,30-39,Branca,Superior completo,Estudante,3–5 SM,Vaz Lobo,Zona Norte,Regular,Bom,Regular,Bom,Regular,Regular,Ruim,Bom,desemprego
02/2024,Feminino,50-59,Branca,Médio incompleto,Autônomo,1–2 SM,Gericinó,Zona Oeste,Regular,Ruim,Ruim,Regular,Bom,Ruim,Ruim,Regular,crime e violência
02/2024,Feminino,25-29,Parda,Médio completo,Autônomo,2–3 SM,Cascadura,Zona Norte,Regular,Bom,Regular,Bom,Ruim,Regular,Ruim,Ruim,inflação
02/2024,Masculino,25-29,Branca,Superior incompleto,Empregado c/ carteira,3–5 SM,Santíssimo,Zona Oeste,Péssimo,Ruim,Regular,Regular,Regular,Regular,Péssimo,Ruim,saúde
02/2024,Masculino,25-29,Branca,Médio completo,Aposentado,3–5 SM,Vila Valqueire,Zona Oeste,Regular,Regular,Bom,Ruim,Ruim,Regular,Bom,Regular,saúde
02/2024,Feminino,30-39,Parda,Superior completo,Autônomo,5–10 SM,Urca,Zona Sul,Ruim,Ruim,Regular,Ruim,Regular,Regular,Bom,Péssimo,pobreza e desigualdade
02/2024,Masculino,25-29,Parda,Sem instrução,Autônomo,3–5 SM,Leblon,Zona Sul,Bom,Bom,Regular,Ruim,Regular,Ruim,Bom,Péssimo,crime e violência
02/2024,Feminino,16-24,Branca,Médio completo,Estudante,Até 1 SM,Parque Anchieta,Zona Norte,Ruim,Regular,Ruim,Bom,Regular,Ruim,Ruim,Regular,crime e violência
02/2024,Feminino,60+,Parda,Médio completo,Empregado c/ carteira,Até 1 SM,Cidade Nova,Centro,Regular,Regular,Ruim,Bom,Ótimo,Ruim,Regular,Bom,educação
02/2024,Feminino,60+,Preta,Médio completo,Empregado s/ carteira,3–5 SM,Rocinha,Zona Sul,Regular,Bom,Regular,Péssimo,Ótimo,Bom,Bom,Regular,pobreza e desigualdade
02/2024,Masculino,40-49,Branca,Médio completo,Autônomo,1–2 SM,Grumari,Zona Oeste,Ruim,Regular,Ótimo,Ruim,Bom,Ruim,Bom,Ruim,crime e violência
02/2024,Masculino,60+,Branca,Fundamental completo,Autônomo,3–5 SM,Glória,Centro,Bom,Regular,Ruim,Regular,Péssimo,Ótimo,Ruim,Regular,crime e violência
02/2024,Feminino,60+,Parda,Superior incompleto,Empregado c/ carteira,5–10 SM,Grajaú,Zona Norte,Regular,Péssimo,Ótimo,Regular,Ruim,Bom,Regular,Regular,educação
02/2024,Feminino,40-49,Parda,Médio completo,Empregado c/ carteira,3–5 SM,Vila Valqueire,Zona Oeste,Bom,Regular,Regular,Regular,Regular,Regular,Regular,Ruim,educação
02/2024,Masculino,30-39,Branca,Médio completo,Empregado c/ carteira,2–3 SM,Engenheiro Leal,Zona Norte,Ruim,Regular,Ótimo,Regular,Bom,Regular,Péssimo,Regular,pobreza e desigualdade
02/2024,Feminino,60+,Branca,Médio completo,Empresário,3–5 SM,Deodoro,Zona Oeste,Ruim,Regular,Regular,Bom,Bom,Bom,Ruim,Péssimo,crime e violência
02/2024,Feminino,40-49,Parda,Médio completo,Empregado s/ carteira,1–2 SM,Vila Valqueire,Zona Oeste,Regular,Péssimo,Regular,Regular,Bom,Ótimo,Bom,Regular,inflação
02/2024,Masculino,16-24,Preta,Médio completo,Empregado c/ carteira,3–5 SM,Jardim Sulacap,Zona Oeste,Regular,Regular,Regular,Regular,Péssimo,Regular,Regular,Péssimo,pobreza e desigualdade
02/2024,Feminino,30-39,Parda,Superior completo,Aposentado,3–5 SM,Acari,Zona Norte,Regular,Ruim,Péssimo,Bom,Regular,Regular,Regular,Bom,crime e violência
02/2024,Masculino,30-39,Preta,Médio completo,Autônomo,2–3 SM,Colégio,Zona Norte,Bom,Regular,Regular,Péssimo,Ruim,Ótimo,Ruim,Ruim,crime e violência
02/2024,Feminino,60+,Parda,Médio incompleto,Autônomo,1–2 SM,Itanhangá,Zona Oeste,Bom,Regular,Regular,Bom,Regular,Regular,Bom,Regular,crime e violência
02/2024,Masculino,40-49,Preta,Médio completo,Autônomo,5–10 SM,Maracanã,Zona Norte,Regular,Bom,Regular,Regular,Regular,Regular,Regular,Ruim,pobreza e desigualdade
02/2024,Feminino,50-59,Parda,Superior incompleto,Desempregado,2–3 SM,Gávea,Zona Sul,Regular,Regular,Ótimo,Regular,Regular,Regular,Regular,Péssimo,rede de transportes
02/2024,Masculino,50-59,Preta,Médio completo,Desempregado,Até 1 SM,Leblon,Zona Sul,Regular,Regular,Ruim,Regular,Ótimo,Péssimo,Péssimo,Regular,questões climáticas
02/2024,Masculino,30-39,Branca,Médio completo,Empregado c/ carteira,5–10 SM,Marechal Hermes,Zona Norte,Bom,Ruim,Ruim,Bom,Regular,Regular,Ruim,Ruim,crime e violência
02/2024,Feminino,40-49,Parda,Médio completo,Aposentado,3–5 SM,Andaraí,Zona Norte,Regular,Bom,Regular,Regular,Ruim,Péssimo,Regular,Péssimo,desemprego
02/2024,Feminino,25-29,Branca,Médio incompleto,Empregado c/ carteira,3–5 SM,Ricardo De Albuquerque,Zona Norte,Péssimo,Regular,Regular,Bom,Regular,Bom,Regular,Regular,inflação
02/2024,Feminino,30-39,Branca,Fundamental completo,Empregado c/ carteira,2–3 SM,Lagoa,Zona Sul,Ótimo,Regular,Regular,Regular,Regular,Bom,Ruim,Regular,pobreza e desigualdade
02/2024,Feminino,50-59,Parda,Fundamental completo,Empregado c/ carteira,Mais de 10 SM,Estácio,Centro,Regular,Bom,Ruim,Bom,Regular,Ruim,Ruim,Ruim,crime e violência
02/2024,Feminino,40-49,Branca,Médio completo,Estudante,5–10 SM,Cocotá,Zona Norte,Regular,Bom,Ruim,Bom,Regular,Ruim,Ruim,Regular,corrupção
02/2024,Feminino,50-59,Branca,Fundamental incompleto,Autônomo,2–3 SM,Urca,Zona Sul,Péssimo,Regular,Regular,Péssimo,Regular,Regular,Ruim,Ruim,saúde
02/2024,Masculino,25-29,Amarela,Médio completo,Estudante,3–5 SM,Ipanema,Zona Sul,Regular,Regular,Péssimo,Regular,Bom,Bom,Ruim,Regular,crime e violência
02/2024,Masculino,50-59,Parda,Fundamental completo,Desempregado,1–2 SM,Brás De Pina,Zona Norte,Regular,Regular,Regular,Bom,Péssimo,Ruim,Ótimo,Ruim,corrupção
02/2024,Masculino,25-29,Preta,Médio completo,Empregado c/ carteira,1–2 SM,Rio Comprido,Centro,Ruim,Regular,Ótimo,Péssimo,Ótimo,Péssimo,Regular,Ótimo,desemprego
02/2024,Masculino,40-49,Indígena,Médio incompleto,Empregado c/ carteira,1–2 SM,Gericinó,Zona Oeste,Bom,Regular,Regular,Bom,Regular,Péssimo,Regular,Regular,educação
02/2024,Masculino,30-39,Branca,Médio completo,Autônomo,1–2 SM,Santo Cristo,Centro,Regular,Regular,Regular,Bom,Bom,Regular,Regular,Ruim,corrupção
02/2024,Feminino,40-49,Branca,Superior completo,Empregado c/ carteira,3–5 SM,Gericinó,Zona Oeste,Regular,Regular,Bom,Bom,Bom,Ruim,Regular,Regular,educação
02/2024,Feminino,16-24,Branca,Médio completo,Empregado c/ carteira,1–2 SM,Cacuia,Zona Norte,Regular,Bom,Regular,Ruim,Regular,Ruim,Regular,Regular,educação
02/2024,Feminino,30-39,Parda,Médio completo,Aposentado,5–10 SM,Rio Comprido,Centro,Bom,Regular,Regular,Regular,Péssimo,Ruim,Regular,Péssimo,rede de transportes
02/2024,Feminino,40-49,Parda,Superior incompleto,Estudante,2–3 SM,Praça Da Bandeira,Zona Norte,Bom,Bom,Ruim,Bom,Ruim,Péssimo,Péssimo,Regular,pobreza e desigualdade
02/2024,Masculino,40-49,Parda,Sem instrução,Empregado s/ carteira,2–3 SM,Urca,Zona Sul,Bom,Regular,Ruim,Ótimo,Bom,Ruim,Regular,Bom,corrupção
02/2024,Masculino,40-49,Branca,Fundamental incompleto,Estudante,1–2 SM,Moneró,Zona Norte,Ruim,Ruim,Ruim,Regular,Regular,Regular,Bom,Regular,crime e violência
02/2024,Feminino,30-39,Branca,Fundamental incompleto,Desempregado,2–3 SM,Jardim Botânico,Zona Sul,Péssimo,Regular,Bom,Regular,Ótimo,Regular,Ótimo,Regular,questões climáticas
02/2024,Feminino,60+,Branca,Fundamental incompleto,Empregado c/ carteira,1–2 SM,Grumari,Zona Oeste,Bom,Bom,Regular,Ruim,Regular,Regular,Bom,Péssimo,crime e violência
02/2024,Masculino,60+,Branca,Médio incompleto,Empregado s/ carteira,2–3 SM,Santo Cristo,Centro,Bom,Bom,Regular,Regular,Bom,Ruim,Péssimo,Ruim,crime e violência
02/2024,Feminino,30-39,Preta,Médio completo,Empregado c/ carteira,3–5 SM,Ribeira,Zona Norte,Péssimo,Ótimo,Regular,Regular,Ruim,Regular,Péssimo,Regular,crime e violência
02/2024,Masculino,30-39,Branca,Fundamental incompleto,Empregado c/ carteira,3–5 SM,Senador Camará,Zona Oeste,Regular,Regular,Bom,Ruim,Bom,Ótimo,Regular,Regular,inflação
02/2024,Masculino,40-49,Branca,Superior completo,Empregado c/ carteira,3–5 SM,Joá,Zona Oeste,Ruim,Regular,Bom,Regular,Ótimo,Regular,Regular,Péssimo,rede de transportes
02/2024,Masculino,16-24,Branca,Superior completo,Servidor público,3–5 SM,Santo Cristo,Centro,Bom,Bom,Bom,Regular,Ruim,Péssimo,Ruim,Regular,corrupção
02/2024,Masculino,30-39,Parda,Pós-graduação,Autônomo,5–10 SM,Engenho De Dentro,Zona Norte,Ruim,Ruim,Ruim,Bom,Péssimo,Ruim,Bom,Regular,inflação
02/2024,Feminino,25-29,Branca,Fundamental incompleto,Aposentado,1–2 SM,Camorim,Zona Oeste,Ruim,Regular,Bom,Regular,Bom,Bom,Regular,Regular,inflação
02/2024,Masculino,25-29,Branca,Superior completo,Empregado c/ carteira,Mais de 10 SM,Jardim Sulacap,Zona Oeste,Bom,Regular,Bom,Ruim,Bom,Ótimo,Regular,Bom,pobreza e desigualdade
02/2024,Feminino,40-49,Parda,Superior completo,Empregado c/ carteira,2–3 SM,Costa Barros,Zona Norte,Bom,Regular,Bom,Bom,Ruim,Regular,Ruim,Péssimo,educação
02/2024,Masculino,30-39,Preta,Superior completo,Aposentado,3–5 SM,Humaitá,Zona Sul,Bom,Regular,Ruim,Regular,Regular,Regular,Ruim,Ruim,inflação
02/2024,Feminino,16-24,Preta,Médio completo,Autônomo,3–5 SM,Engenho Da Rainha,Zona Norte,Bom,Péssimo,Bom,Regular,Péssimo,Bom,Regular,Regular,pobreza e desigualdade
02/2024,Feminino,60+,Branca,Superior completo,Servidor público,3–5 SM,Catete,Zona Sul,Péssimo,Ótimo,Ótimo,Bom,Regular,Péssimo,Péssimo,Bom,pobreza e desigualdade
02/2024,Feminino,50-59,Parda,Fundamental incompleto,Empregado c/ carteira,Mais de 10 SM,Santíssimo,Zona Oeste,Regular,Bom,Regular,Bom,Ótimo,Regular,Regular,Bom,desemprego
02/2024,Masculino,50-59,Branca,Fundamental incompleto,Servidor público,1–2 SM,Madureira,Zona Norte,Ruim,Ruim,Regular,Bom,Ótimo,Regular,Ruim,Regular,rede de transportes
02/2024,Feminino,30-39,Branca,Fundamental incompleto,Autônomo,2–3 SM,Campo Grande,Zona Oeste,Ruim,Regular,Regular,Regular,Regular,Ruim,Regular,Regular,crime e violência
02/2024,Feminino,16-24,Parda,Superior completo,Empregado c/ carteira,1–2 SM,Ipanema,Zona Sul,Regular,Péssimo,Ruim,Regular,Ruim,Regular,Ótimo,Regular,crime e violência
02/2024,Masculino,16-24,Branca,Fundamental incompleto,Desempregado,1–2 SM,Barra Da Tijuca,Zona Oeste,Regular,Bom,Ótimo,Regular,Ruim,Regular,Bom,Ruim,saúde
02/2024,Masculino,25-29,Parda,Fundamental incompleto,Estudante,3–5 SM,Parque Columbia,Zona Norte,Bom,Bom,Ótimo,Bom,Péssimo,Regular,Péssimo,Péssimo,crime e violência
02/2024,Masculino,25-29,Preta,Superior completo,Empregado c/ carteira,Até 1 SM,Oswaldo Cruz,Zona Norte,Regular,Regular,Bom,Regular,Bom,Péssimo,Ótimo,Regular,inflação
02/2024,Masculino,50-59,Branca,Fundamental incompleto,Empresário,5–10 SM,Laranjeiras,Zona Sul,Péssimo,Bom,Ruim,Ótimo,Ruim,Bom,Regular,Bom,crime e violência
02/2024,Masculino,60+,Branca,Superior completo,Estudante,3–5 SM,Guadalupe,Zona Norte,Bom,Regular,Bom,Bom,Ruim,Ruim,Regular,Ruim,educação
02/2024,Feminino,50-59,Branca,Superior completo,Empregado s/ carteira,2–3 SM,Gamboa,Centro,Regular,Péssimo,Péssimo,Regular,Ruim,Regular,Regular,Regular,educação
02/2024,Masculino,50-59,Parda,Fundamental incompleto,Empregado c/ carteira,2–3 SM,Vargem Grande,Zona Oeste,Ruim,Ótimo,Ruim,Regular,Regular,Ruim,Regular,Bom,pobreza e desigualdade
02/2024,Feminino,40-49,Preta,Sem instrução,Empregado s/ carteira,1–2 SM,Jardim Sulacap,Zona Oeste,Regular,Regular,Regular,Ruim,Regular,Ruim,Bom,Bom,crime e violência
02/2024,Feminino,50-59,Preta,Médio completo,Empregado c/ carteira,5–10 SM,Santíssimo,Zona Oeste,Regular,Regular,Ruim,Ótimo,Regular,Ótimo,Bom,Bom,crime e violência
02/2024,Feminino,60+,Parda,Pós-graduação,Autônomo,3–5 SM,Cosmos,Zona Oeste,Ruim,Regular,Regular,Regular,Regular,Bom,Bom,Ótimo,educação
02/2024,Masculino,40-49,Branca,Superior completo,Estudante,2–3 SM,Gamboa,Centro,Ótimo,Bom,Regular,Regular,Bom,Bom,Bom,Péssimo,corrupção
02/2024,Feminino,16-24,Parda,Médio incompleto,Desempregado,Até 1 SM,Jardim Sulacap,Zona Oeste,Ruim,Bom,Regular,Regular,Regular,Regular,Bom,Regular,pobreza e desigualdade
02/2024,Masculino,16-24,Branca,Médio completo,Autônomo,2–3 SM,Jacaré,Zona Norte,Ruim,Ótimo,Regular,Bom,Ruim,Péssimo,Regular,Bom,crime e violência
02/2024,Masculino,40-49,Preta,Médio completo,Empregado c/ carteira,1–2 SM,Vargem Pequena,Zona Oeste,Ótimo,Péssimo,Bom,Ruim,Bom,Ótimo,Bom,Bom,pobreza e desigualdade
02/2024,Masculino,30-39,Branca,Superior incompleto,Servidor público,5–10 SM,Paciência,Zona Oeste,Regular,Regular,Regular,Regular,Regular,Regular,Bom,Regular,corrupção
02/2024,Feminino,60+,Parda,Médio completo,Empregado c/ carteira,3–5 SM,Urca,Zona Sul,Regular,Ruim,Ruim,Ruim,Regular,Ruim,Regular,Regular,crime e violência
02/2024,Feminino,40-49,Branca,Fundamental completo,Empregado c/ carteira,2–3 SM,Saúde,Centro,Bom,Bom,Regular,Péssimo,Ruim,Péssimo,Bom,Ruim,crime e violência
02/2024,Masculino,40-49,Branca,Superior incompleto,Desempregado,5–10 SM,Paciência,Zona Oeste,Regular,Ótimo,Péssimo,Péssimo,Regular,Regular,Péssimo,Regular,corrupção
02/2024,Masculino,16-24,Parda,Médio completo,Estudante,1–2 SM,Senador Vasconcelos,Zona Oeste,Regular,Regular,Bom,Regular,Regular,Ruim,Regular,Péssimo,educação
02/2024,Masculino,30-39,Parda,Fundamental incompleto,Empresário,2–3 SM,Camorim,Zona Oeste,Péssimo,Ruim,Péssimo,Ruim,Regular,Regular,Péssimo,Ruim,crime e violência
02/2024,Feminino,30-39,Parda,Superior completo,Empresário,3–5 SM,Estácio,Centro,Regular,Regular,Regular,Bom,Bom,Bom,Bom,Ruim,pobreza e desigualdade
02/2024,Feminino,40-49,Parda,Médio completo,Servidor público,Até 1 SM,Vasco Da Gama,Centro,Ruim,Regular,Regular,Ótimo,Bom,Ótimo,Ótimo,Regular,desemprego
02/2024,Masculino,30-39,Branca,Médio completo,Autônomo,2–3 SM,Caju,Centro,Bom,Regular,Ruim,Regular,Bom,Regular,Regular,Regular,saúde
02/2024,Masculino,60+,Preta,Superior incompleto,Empregado c/ carteira,3–5 SM,Colégio,Zona Norte,Bom,Bom,Ruim,Péssimo,Ótimo,Regular,Regular,Regular,pobreza e desigualdade
02/2024,Feminino,40-49,Parda,Médio completo,Autônomo,2–3 SM,Itanhangá,Zona Oeste,Péssimo,Ruim,Regular,Ruim,Regular,Regular,Regular,Regular,pobreza e desigualdade
02/2024,Masculino,40-49,Branca,Médio completo,Empregado c/ carteira,2–3 SM,Pilares,Zona Norte,Ruim,Bom,Ruim,Regular,Péssimo,Bom,Regular,Bom,saúde
02/2024,Masculino,60+,Parda,Superior completo,Empregado c/ carteira,3–5 SM,Recreio Dos Bandeirantes,Zona Oeste,Bom,Regular,Bom,Regular,Regular,Bom,Regular,Péssimo,questões climáticas
02/2024,Feminino,60+,Amarela,Médio completo,Empregado c/ carteira,2–3 SM,Vaz Lobo,Zona Norte,Regular,Regular,Regular,Ótimo,Péssimo,Bom,Ruim,Ruim,pobreza e desigualdade
02/2024,Masculino,25-29,Parda,Superior incompleto,Empregado c/ carteira,Até 1 SM,Rocha Miranda,Zona Norte,Regular,Ótimo,Péssimo,Regular,Regular,Péssimo,Bom,Bom,desemprego
02/2024,Feminino,50-59,Branca,Médio completo,Autônomo,1–2 SM,Vila Militar,Zona Oeste,Regular,Ruim,Bom,Bom,Bom,Péssimo,Regular,Ruim,corrupção
02/2024,Masculino,16-24,Parda,Médio completo,Empregado s/ carteira,2–3 SM,Freguesia (Jacarepaguá),Zona Oeste,Ruim,Ruim,Ótimo,Ótimo,Ótimo,Ótimo,Regular,Regular,crime e violência
02/2024,Feminino,30-39,Branca,Fundamental completo,Empregado s/ carteira,1–2 SM,Coelho Neto,Zona Norte,Ruim,Bom,Regular,Bom,Ruim,Bom,Regular,Ótimo,rede de transportes
02/2024,Feminino,16-24,Parda,Médio completo,Aposentado,5–10 SM,Cidade Universitária,Zona Norte,Bom,Regular,Regular,Ruim,Regular,Ruim,Bom,Regular,corrupção
02/2024,Feminino,40-49,Parda,Superior incompleto,Desempregado,5–10 SM,Urca,Zona Sul,Regular,Regular,Regular,Regular,Bom,Ótimo,Regular,Ótimo,crime e violência
02/2024,Feminino,30-39,Preta,Médio completo,Servidor público,2–3 SM,Jardim América,Zona Norte,Bom,Bom,Regular,Ótimo,Regular,Péssimo,Regular,Bom,crime e violência
02/2024,Masculino,40-49,Parda,Médio completo,Autônomo,5–10 SM,Botafogo,Zona Sul,Ruim,Regular,Regular,Regular,Ruim,Regular,Péssimo,Bom,saúde
02/2024,Masculino,40-49,Branca,Superior completo,Empregado c/ carteira,2–3 SM,Realengo,Zona Oeste,Regular,Regular,Regular,Ruim,Bom,Regular,Ruim,Regular,saúde
02/2024,Masculino,40-49,Parda,Sem instrução,Empregado c/ carteira,1–2 SM,Humaitá,Zona Sul,Péssimo,Regular,Regular,Péssimo,Ruim,Ruim,Bom,Regular,crime e violência
02/2024,Masculino,25-29,Branca,Superior incompleto,Desempregado,3–5 SM,Guadalupe,Zona Norte,Ruim,Ruim,Péssimo,Ruim,Bom,Bom,Regular,Bom,rede de transportes
02/2024,Masculino,50-59,Branca,Médio completo,Aposentado,3–5 SM,Vicente De Carvalho,Zona Norte,Bom,Bom,Péssimo,Ótimo,Regular,Bom,Ruim,Regular,crime e violência
02/2024,Feminino,40-49,Branca,Médio completo,Empregado c/ carteira,Até 1 SM,Flamengo,Zona Sul,Ruim,Regular,Ruim,Bom,Regular,Ruim,Regular,Regular,rede de transportes
02/2024,Masculino,30-39,Branca,Médio completo,Aposentado,1–2 SM,Santa Teresa,Centro,Regular,Ruim,Bom,Bom,Regular,Péssimo,Regular,Regular,inflação
02/2024,Masculino,60+,Preta,Fundamental completo,Autônomo,Até 1 SM,Tauá,Zona Norte,Bom,Bom,Regular,Regular,Bom,Regular,Regular,Bom,crime e violência
02/2024,Feminino,25-29,Parda,Médio completo,Empregado c/ carteira,1–2 SM,Parada De Lucas,Zona Norte,Regular,Péssimo,Ruim,Regular,Bom,Ruim,Regular,Regular,pobreza e desigualdade
02/2024,Feminino,30-39,Parda,Médio completo,Desempregado,2–3 SM,Centro,Centro,Péssimo,Regular,Regular,Bom,Ruim,Péssimo,Ótimo,Ótimo,desemprego
02/2024,Masculino,40-49,Branca,Médio completo,Autônomo,3–5 SM,Manguinhos,Zona Norte,Regular,Ruim,Péssimo,Péssimo,Bom,Bom,Ruim,Regular,desemprego
02/2024,Masculino,16-24,Parda,Superior incompleto,Empregado c/ carteira,1–2 SM,Maria Da Graça,Zona Norte,Ruim,Ruim,Regular,Ruim,Regular,Regular,Regular,Ruim,pobreza e desigualdade
02/2024,Masculino,30-39,Parda,Médio completo,Empregado s/ carteira,Até 1 SM,Santo Cristo,Centro,Regular,Regular,Ruim,Regular,Ruim,Bom,Bom,Regular,saúde
02/2024,Masculino,50-59,Branca,Superior completo,Estudante,1–2 SM,Lagoa,Zona Sul,Regular,Bom,Ótimo,Regular,Ruim,Bom,Regular,Regular,inflação
02/2024,Feminino,25-29,Amarela,Médio completo,Autônomo,5–10 SM,Água Santa,Zona Norte,Ruim,Bom,Regular,Regular,Bom,Ruim,Regular,Bom,corrupção
02/2024,Masculino,30-39,Parda,Fundamental completo,Empregado c/ carteira,2–3 SM,Benfica,Centro,Ruim,Bom,Ruim,Regular,Regular,Bom,Bom,Regular,crime e violência
02/2024,Feminino,40-49,Parda,Médio incompleto,Servidor público,2–3 SM,Santa Cruz,Zona Oeste,Bom,Regular,Ruim,Ruim,Regular,Bom,Ruim,Péssimo,corrupção
02/2024,Feminino,40-49,Branca,Fundamental incompleto,Empregado c/ carteira,2–3 SM,Freguesia (Ilha Do Governador),Zona Norte,Bom,Bom,Regular,Bom,Bom,Regular,Ruim,Bom,desemprego
02/2024,Feminino,50-59,Branca,Superior completo,Empregado c/ carteira,3–5 SM,Ipanema,Zona Sul,Regular,Regular,Bom,Regular,Regular,Bom,Regular,Regular,crime e violência
02/2024,Masculino,50-59,Preta,Superior completo,Empregado s/ carteira,2–3 SM,Senador Camará,Zona Oeste,Regular,Bom,Ruim,Bom,Bom,Bom,Ruim,Regular,crime e violência
02/2024,Feminino,30-39,Parda,Fundamental incompleto,Servidor público,Até 1 SM,Magalhães Bastos,Zona Oeste,Ruim,Ótimo,Regular,Regular,Regular,Bom,Regular,Bom,crime e violência
02/2024,Feminino,40-49,Parda,Médio completo,Autônomo,1–2 SM,Estácio,Centro,Bom,Regular,Bom,Regular,Ruim,Ruim,Bom,Péssimo,crime e violência
02/2024,Feminino,50-59,Preta,Pós-graduação,Desempregado,1–2 SM,Ribeira,Zona Norte,Ruim,Regular,Regular,Ótimo,Ruim,Ruim,Regular,Regular,desemprego
02/2024,Feminino,30-39,Parda,Superior incompleto,Empresário,2–3 SM,Ipanema,Zona Sul,Regular,Ruim,Regular,Bom,Ruim,Ruim,Bom,Bom,crime e violência
02/2024,Feminino,60+,Parda,Médio completo,Estudante,Até 1 SM,Barra De Guaratiba,Zona Oeste,Bom,Ótimo,Regular,Bom,Regular,Ruim,Ruim,Regular,desemprego
02/2024,Feminino,50-59,Branca,Fundamental completo,Empregado c/ carteira,1–2 SM,Pitangueiras,Zona Norte,Regular,Bom,Ruim,Regular,Péssimo,Péssimo,Regular,Regular,crime e violência
02/2024,Feminino,25-29,Parda,Médio incompleto,Estudante,3–5 SM,Leblon,Zona Sul,Bom,Péssimo,Regular,Regular,Regular,Bom,Regular,Regular,questões climáticas
02/2024,Feminino,40-49,Branca,Superior incompleto,Estudante,2–3 SM,Cosme Velho,Zona Sul,Bom,Bom,Regular,Péssimo,Regular,Péssimo,Regular,Regular,corrupção
02/2024,Feminino,40-49,Branca,Superior completo,Empregado c/ carteira,3–5 SM,Leme,Zona Sul,Ruim,Ruim,Bom,Bom,Ruim,Regular,Ruim,Regular,crime e violência
02/2024,Feminino,30-39,Preta,Médio completo,Empregado s/ carteira,2–3 SM,Flamengo,Zona Sul,Regular,Regular,Regular,Bom,Bom,Bom,Ruim,Regular,desemprego
02/2024,Feminino,50-59,Branca,Fundamental incompleto,Estudante,Mais de 10 SM,Anil,Zona Oeste,Regular,Bom,Bom,Regular,Bom,Regular,Bom,Regular,pobreza e desigualdade
02/2024,Feminino,40-49,Branca,Superior completo,Empregado c/ carteira,Mais de 10 SM,Engenho De Dentro,Zona Norte,Regular,Regular,Bom,Bom,Ruim,Regular,Bom,Ruim,educação
02/2024,Masculino,40-49,Branca,Superior completo,Empregado c/ carteira,5–10 SM,Inhoaíba,Zona Oeste,Bom,Péssimo,Bom,Ótimo,Ruim,Ótimo,Ruim,Regular,questões climáticas
